Study	Study_accession	Sample_type	Sample_group	Eager_label	Secondary_sample_accession	Run_accession	Sample_alias	Host	Country	Age_BP	avg_gc	avg_rl	No_reads_no_human	V22	Full
Brito2016	PRJNA217052	saliva	industrial	SRS476005	SRS476005	SRR2228527		Human	Fiji	7	40	113.744262984057	185593		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476330	SRS476330	SRR2228528		Human	Fiji	7	43	107.410665257549	6629207		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476294	SRS476294	SRR2228530		Human	Fiji	7	42	115.128988458927	61866		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475950	SRS475950	SRR2228531		Human	Fiji	7	45	113.377029419353	224818		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476162	SRS476162	SRR2228532		Human	Fiji	7	42	113.123454370324	178568		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475593	SRS475593	SRR2228533		Human	Fiji	7	42	113.629918263475	126137		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476081	SRS476081	SRR2228534		Human	Fiji	7	43	115.394299257781	80165		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475937	SRS475937	SRR2228535		Human	Fiji	7	44	115.293096215694	78667		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475588	SRS475588	SRR2228537		Human	Fiji	7	44	114.564188921275	617887		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476178	SRS476178	SRR2228538		Human	Fiji	7	44	114.667166033946	176223		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476138	SRS476138	SRR2228539		Human	Fiji	7	42	111.685823452504	88724		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476161	SRS476161	SRR2228540		Human	Fiji	7	45	113.180354249643	820269		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476180	SRS476180	SRR2228541		Human	Fiji	7	43	115.143100753162	105555		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475593	SRS475593	SRR2228544		Human	Fiji	7	42	113.629918263475	126137		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475601	SRS475601	SRR2228545		Human	Fiji	7	43	115.788989400698	160954		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS475592	SRS475592	SRR2228546		Human	Fiji	7	43	112.650294417029	77611		Saliva - Industrial
Brito2016	PRJNA217052	saliva	industrial	SRS476110	SRS476110	SRR2228547		Human	Fiji	7	45	107.904903157389	199912		Saliva - Industrial
