Sample	MAG_accession	site
RSZYD18078582	GWHAPWC00000000	saliva
RSZYD18078606	GWHAPWD00000000	saliva
RSZYD18078606	GWHAPWE00000000	saliva
RSZYD18078607	GWHAPWF00000000	saliva
RSZYD18078614	GWHAPWG00000000	saliva
RSZYD18078626	GWHAPWH00000000	saliva
RSZYD18078632	GWHAPWI00000000	saliva
RSZYD18078681	GWHAPWJ00000000	saliva
RSZYD18078681	GWHAPWK00000000	saliva
RSZYD18078703	GWHAPWL00000000	saliva
RSZYD18078703	GWHAPWM00000000	saliva
RSZYD18078703	GWHAPWN00000000	saliva
RSZYD18078715	GWHAPWO00000000	saliva
RSZYD18078715	GWHAPWP00000000	saliva
RSZYD18078740	GWHAPWQ00000000	saliva
RSZYD18078740	GWHAPWR00000000	saliva
RSZYD18078740	GWHAPWS00000000	saliva
RSZYD18078756	GWHAPWT00000000	saliva
RSZYD18078756	GWHAPWU00000000	saliva
RSZYD18078761	GWHAPWV00000000	saliva
RSZYD18078769	GWHAPWW00000000	saliva
RSZYD18078775	GWHAPWX00000000	saliva
RSZYD18078809	GWHAPWY00000000	saliva
RSZYD18078809	GWHAPWZ00000000	saliva
RSZYD18088543	GWHAPXA00000000	tongue
RSZYD18093179	GWHAPXB00000000	tongue
RSZYD18093179	GWHAPXC00000000	tongue
RSZYD18187002	GWHAPXD00000000	saliva
RSZYD18187002	GWHAPXE00000000	saliva
RSZYD18187002	GWHAPXF00000000	saliva
RSZYD18187046	GWHAPXG00000000	saliva
RSZYD18187076	GWHAPXH00000000	saliva
RSZYD18187077	GWHAPXI00000000	saliva
RSZYD18187083	GWHAPXJ00000000	saliva
RSZYD18187113	GWHAPXK00000000	saliva
RSZYD18187120	GWHAPXL00000000	saliva
RSZYD18187120	GWHAPXM00000000	saliva
RSZYD18187124	GWHAPXN00000000	saliva
RSZYD18187134	GWHAPXO00000000	saliva
RSZYD18187134	GWHAPXP00000000	saliva
RSZYD18187152	GWHAPXQ00000000	saliva
RSZYD18187152	GWHAPXR00000000	saliva
RSZYD18187175	GWHAPXS00000000	saliva
RSZYD18187184	GWHAPXT00000000	saliva
RSZYD18187184	GWHAPXU00000000	saliva
RSZYD18187206	GWHAPXV00000000	saliva
RSZYD18187210	GWHAPXW00000000	saliva
RSZYD18187210	GWHAPXX00000000	saliva
RSZYD18187231	GWHAPXY00000000	saliva
RSZYD18187244	GWHAPXZ00000000	saliva
RSZYD18187244	GWHAPYA00000000	saliva
RSZYD18187244	GWHAPYB00000000	saliva
RSZYD18187249	GWHAPYC00000000	saliva
RSZYD18187249	GWHAPYD00000000	saliva
RSZYD18187259	GWHAPYE00000000	saliva
RSZYD18187294	GWHAPYF00000000	saliva
RSZYD18187294	GWHAPYG00000000	saliva
RSZYD18187299	GWHAPYH00000000	saliva
RSZYD18187309	GWHAPYI00000000	saliva
RSZYD18187309	GWHAPYJ00000000	saliva
RSZYD18187309	GWHAPYK00000000	saliva
RSZYD18187309	GWHAPYL00000000	saliva
RSZYD18187316	GWHAPYM00000000	saliva
RSZYD18187326	GWHAPYN00000000	saliva
RSZYD18187326	GWHAPYO00000000	saliva
RSZYD18187330	GWHAPYP00000000	saliva
RSZYD18187330	GWHAPYQ00000000	saliva
RSZYD18187330	GWHAPYR00000000	saliva
RSZYD18187330	GWHAPYS00000000	saliva
RSZYD18187330	GWHAPYT00000000	saliva
RSZYD18187330	GWHAPYU00000000	saliva
RSZYD18187330	GWHAPYV00000000	saliva
RSZYD18187344	GWHAPYW00000000	saliva
RSZYD18187344	GWHAPYX00000000	saliva
RSZYD18187344	GWHAPYY00000000	saliva
RSZYD18187344	GWHAPYZ00000000	saliva
RSZYD18187344	GWHAPZA00000000	saliva
RSZYD18187344	GWHAPZB00000000	saliva
RSZYD18187344	GWHAPZC00000000	saliva
RSZYD18187352	GWHAPZD00000000	saliva
RSZYD18187361	GWHAPZE00000000	saliva
RSZYD18187361	GWHAPZF00000000	saliva
RSZYD18187397	GWHAPZG00000000	saliva
RSZYD18187397	GWHAPZH00000000	saliva
RSZYD18187397	GWHAPZI00000000	saliva
RSZYD18187400	GWHAPZJ00000000	saliva
RSZYD18187400	GWHAPZK00000000	saliva
RSZYD18187405	GWHAPZL00000000	saliva
RSZYD18187405	GWHAPZM00000000	saliva
RSZYD18187405	GWHAPZN00000000	saliva
RSZYD18187405	GWHAPZO00000000	saliva
RSZYD18187432	GWHAPZP00000000	saliva
RSZYD18187471	GWHAPZQ00000000	saliva
RSZYD18187471	GWHAPZR00000000	saliva
RSZYD18187471	GWHAPZS00000000	saliva
RSZYD18187499	GWHAPZT00000000	saliva
RSZYD18187500	GWHAPZU00000000	saliva
RSZYD18187500	GWHAPZV00000000	saliva
RSZYD18187500	GWHAPZW00000000	saliva
RSZYD18187537	GWHAPZX00000000	saliva
RSZYD18187537	GWHAPZY00000000	saliva
RSZYD18187537	GWHAPZZ00000000	saliva
RSZYD18187547	GWHAQAA00000000	saliva
RSZYD18187547	GWHAQAB00000000	saliva
RSZYD18187554	GWHAQAC00000000	saliva
RSZYD18187567	GWHAQAD00000000	saliva
RSZYD18187572	GWHAQAE00000000	saliva
RSZYD18187572	GWHAQAF00000000	saliva
RSZYD18187572	GWHAQAG00000000	saliva
RSZYD18187584	GWHAQAH00000000	saliva
RSZYD18187584	GWHAQAI00000000	saliva
RSZYD18187590	GWHAQAJ00000000	saliva
RSZYD18187612	GWHAQAK00000000	saliva
RSZYD18187629	GWHAQAL00000000	saliva
RSZYD18187629	GWHAQAM00000000	saliva
RSZYD18187663	GWHAQAN00000000	saliva
RSZYD18187665	GWHAQAO00000000	saliva
RSZYD18187701	GWHAQAP00000000	saliva
RSZYD18187701	GWHAQAQ00000000	saliva
RSZYD18187711	GWHAQAR00000000	saliva
RSZYD18187715	GWHAQAS00000000	saliva
RSZYD18187715	GWHAQAT00000000	saliva
RSZYD18187715	GWHAQAU00000000	saliva
RSZYD18187722	GWHAQAV00000000	saliva
RSZYD18187723	GWHAQAW00000000	saliva
RSZYD18187723	GWHAQAX00000000	saliva
RSZYD18187723	GWHAQAY00000000	saliva
RSZYD18187767	GWHAQAZ00000000	saliva
RSZYD18187792	GWHAQBA00000000	saliva
RSZYD18187797	GWHAQBB00000000	saliva
RSZYD18187798	GWHAQBC00000000	saliva
RSZYD18187853	GWHAQBD00000000	saliva
RSZYD18187853	GWHAQBE00000000	saliva
RSZYD18187867	GWHAQBF00000000	saliva
RSZYD18187874	GWHAQBG00000000	saliva
RSZYD18187874	GWHAQBH00000000	saliva
RSZYD18187874	GWHAQBI00000000	saliva
RSZYD18187874	GWHAQBJ00000000	saliva
RSZYD18187874	GWHAQBK00000000	saliva
RSZYD18187902	GWHAQBL00000000	saliva
RSZYD18187902	GWHAQBM00000000	saliva
RSZYD18187910	GWHAQBN00000000	saliva
RSZYD18187910	GWHAQBO00000000	saliva
RSZYD18187924	GWHAQBP00000000	saliva
RSZYD18187926	GWHAQBQ00000000	saliva
RSZYD18187938	GWHAQBR00000000	saliva
RSZYD18187946	GWHAQBS00000000	saliva
RSZYD18187952	GWHAQBT00000000	saliva
RSZYD18187974	GWHAQBU00000000	saliva
RSZYD18187974	GWHAQBV00000000	saliva
RSZYD18187982	GWHAQBW00000000	saliva
RSZYD18187982	GWHAQBX00000000	saliva
RSZYD18187982	GWHAQBY00000000	saliva
RSZYD18187982	GWHAQBZ00000000	saliva
RSZYD18187982	GWHAQCA00000000	saliva
RSZYD18187982	GWHAQCB00000000	saliva
RSZYD18187982	GWHAQCC00000000	saliva
RSZYD18187982	GWHAQCD00000000	saliva
RSZYD18187984	GWHAQCE00000000	saliva
RSZYD18187984	GWHAQCF00000000	saliva
RSZYD18187989	GWHAQCG00000000	saliva
RDPYD18075166	GWHAQCH00000000	saliva
RDPYD18075170	GWHAQCI00000000	saliva
RDPYD18075170	GWHAQCJ00000000	saliva
RDPYD18075172	GWHAQCK00000000	saliva
RDPYD18075176	GWHAQCL00000000	saliva
RDPYD18075178	GWHAQCM00000000	saliva
RDPYD18075179	GWHAQCN00000000	saliva
RDPYD18075179	GWHAQCO00000000	saliva
RDPYD18075181	GWHAQCP00000000	saliva
RDPYD18075183	GWHAQCQ00000000	saliva
RDPYD18079665	GWHAQCR00000000	saliva
RDPYD18079665	GWHAQCS00000000	saliva
RDPYD18079672	GWHAQCT00000000	tongue
