Bin,symbol,size,color,fillcol,position
GWHARJI00000000,2,1,#fea873,1,1
ERS1202873.bin.r.7,2,1,#fea873,1,1
HMP_2012__SRS057539__bin.33,2,1,#fea873,1,1
GWHAPRZ00000000,2,1,#fea873,1,1
MGYG000299025,2,1,#fea873,1,1
GWHAQYZ00000000,2,1,#fea873,1,1
GWHAQIH00000000,2,1,#fea873,1,1
GWHAQOB00000000,2,1,#fea873,1,1
MGYG000299001,2,1,#fea873,1,1
ERS12516974.bin.r.6,2,1,#fea873,1,1
ERS1202875.bin.r.7,2,1,#fea873,1,1
GWHAPNF00000000,2,1,#fea873,1,1
ERS6256721.bin.r.7,2,1,#fea873,1,1
GWHARQK00000000,2,1,#fea873,1,1
GWHAQVN00000000,2,1,#fea873,1,1
GWHAQSE00000000,2,1,#fea873,1,1
GWHAQYM00000000,2,1,#fea873,1,1
GWHARDL00000000,2,1,#fea873,1,1
GWHAQUO00000000,2,1,#fea873,1,1
HMP_2012__SRS021954__bin.7,2,1,#fea873,1,1
GWHARFU00000000,2,1,#fea873,1,1
ERS12516935.bin.r.36,2,1,#fea873,1,1
GWHAQQJ00000000,2,1,#fea873,1,1
GWHARDH00000000,2,1,#fea873,1,1
ERS1202868.bin.r.3,2,1,#fea873,1,1
GWHARDV00000000,2,1,#fea873,1,1
GWHAPPO00000000,2,1,#fea873,1,1
ERS12516955.bin.r.4,2,1,#fea873,1,1
GWHAQCW00000000,2,1,#fea873,1,1
GWHAQJF00000000,2,1,#fea873,1,1
CMC034.B.bin.r.50,2,1,#fea873,1,1
CMC024.B.bin.r.2,2,1,#fea873,1,1
ERS3774402.bin.r.5,2,1,#fea873,1,1
ERS3774486.bin.r.7,2,1,#fea873,1,1
ERS3774400.bin.r.3,2,1,#fea873,1,1
ERS3774441.bin.r.4,2,1,#fea873,1,1
ERS3774391.bin.r.20,2,1,#fea873,1,1
ERS4545914.bin.r.4,2,1,#fea873,1,1
ERS3774422.bin.r.5,2,1,#fea873,1,1
ERSX0003003.bin.r.32,2,1,#fea873,1,1
ERSX0004062.bin.r.5,2,1,#fea873,1,1
ERS3887047.bin.r.2,2,1,#fea873,1,1
ERS3774402.bin.r.12,2,1,#fea873,1,1
ERS11702805.bin.r.2,2,1,#fea873,1,1
ERS6256687.bin.r.1,2,1,#fea873,1,1
ERS3774469.bin.r.5,2,1,#fea873,1,1
ERS3774403.bin.r.1,2,1,#fea873,1,1
ERS3774378.bin.r.3,2,1,#fea873,1,1
CMC016.B.bin.r.18,2,1,#fea873,1,1
ERS6955121.bin.r.3,2,1,#fea873,1,1
ERS12516983.bin.r.14,2,1,#fea873,1,1
GWHAQMF00000000,2,1,#fea873,1,1
GWHAQLI00000000,2,1,#fea873,1,1
GWHAPSR00000000,2,1,#fea873,1,1
GWHAQGO00000000,2,1,#fea873,1,1
GWHAPPF00000000,2,1,#fea873,1,1
GWHAQRU00000000,2,1,#fea873,1,1
ERS2985769.bin.r.1,2,1,#fea873,1,1
CMC028.B.bin.r.66,2,1,#fea873,1,1
ERS6256719.bin.r.2,2,1,#fea873,1,1
ERS3774464.bin.r.2,2,1,#fea873,1,1
ERS6256721.bin.r.9,2,1,#fea873,1,1
ERS6256722.bin.r.5,2,1,#fea873,1,1
ERS3774468.bin.r.8,2,1,#fea873,1,1
ERS2985750.bin.r.4,2,1,#fea873,1,1
SRS4625245.bin.r.31,2,1,#fea873,1,1
ERS6955167.bin.r.15,2,1,#fea873,1,1
GWHARPH00000000,2,1,#fea873,1,1
ERS3774422.bin.r.39,2,1,#fea873,1,1
ERSX0002001.bin.r.60,2,1,#fea873,1,1
ERS6955167.bin.r.10,2,1,#fea873,1,1
ERS6955170.bin.r.3,2,1,#fea873,1,1
ERS6955167.bin.r.9,2,1,#fea873,1,1
SRS3078195.bin.r.17,2,1,#fea873,1,1
ERS3774470.bin.r.4,2,1,#fea873,1,1
ERS6955121.bin.r.16,2,1,#fea873,1,1
HMP_2012__SRS015797__bin.58,2,1,#fea873,1,1
HMP_2012__SRS016037__bin.20,2,1,#fea873,1,1
GWHAPOS00000000,2,1,#fea873,1,1
ERSX0003003.bin.r.55,2,1,#fea873,1,1
HMP_2012__SRS023964__bin.30,2,1,#fea873,1,1
HMP_2012__SRS011343__bin.6,2,1,#fea873,1,1
CM_periimplantitis__SP_261SPT_T016__bin.6,2,1,#fea873,1,1
HMP_2012__SRS015215__bin.44,2,1,#fea873,1,1
ERS2985767.bin.r.1,2,1,#fea873,1,1
ERS3774438.bin.r.11,2,1,#fea873,1,1
ERS2985783.bin.r.13,2,1,#fea873,1,1
ERS4042431.bin.r.5,2,1,#fea873,1,1
CMC023.A.bin.r.45,2,1,#fea873,1,1
GWHAQRX00000000,2,1,#fea873,1,1
CMC045.B.bin.r.85,2,1,#fea873,1,1
ERS6955144.bin.r.25,2,1,#fea873,1,1
ERS6955148.bin.r.20,2,1,#fea873,1,1
ERS3774422.bin.r.32,2,1,#fea873,1,1
ERS6955113.bin.r.12,2,1,#fea873,1,1
GWHARIZ00000000,2,1,#fea873,1,1
GWHARQG00000000,2,1,#fea873,1,1
HMP_2012__SRS062761__bin.26,2,1,#fea873,1,1
ERS3774422.bin.r.6,2,1,#fea873,1,1
ERSX0003003.bin.r.50,2,1,#fea873,1,1
ERS3774468.bin.r.1,2,1,#fea873,1,1
CMC024.B.bin.r.77,2,1,#fea873,1,1
ERSX0002001.bin.r.25,2,1,#fea873,1,1
CMC018.B.bin.r.106,2,1,#fea873,1,1
ERSX0003001.bin.r.17,2,1,#fea873,1,1
CMC035.B.bin.r.61,2,1,#fea873,1,1
ERS3774424.bin.r.15,2,1,#fea873,1,1
SRS4625245.bin.r.16,2,1,#fea873,1,1
SRS4625245.bin.r.22,2,1,#fea873,1,1
ERS2985750.bin.r.8,2,1,#fea873,1,1
CMC022.B.bin.r.13,2,1,#fea873,1,1
ERS11702802.bin.r.1,2,1,#fea873,1,1
ERSX0003002.bin.r.15,2,1,#fea873,1,1
SRS3078200.bin.r.4,2,1,#fea873,1,1
ERS11702734.bin.r.2,2,1,#fea873,1,1
ERS6205394.bin.r.4,2,1,#fea873,1,1
ERS11702751.bin.r.5,2,1,#fea873,1,1
ERS3774469.bin.r.7,2,1,#fea873,1,1
ERS6256692.bin.r.11,2,1,#fea873,1,1
ERSX0002001.bin.r.15,2,1,#fea873,1,1
HMP_2012__SRS016541__bin.10,2,1,#fea873,1,1
CMC024.B.bin.r.92,2,1,#fea873,1,1
ERS3774419.bin.r.2,2,1,#fea873,1,1
CM_cf__CF_TNFC005SA_t1M15__bin.15,2,1,#fea873,1,1
GWHARDY00000000,2,1,#fea873,1,1
HMP_2012__SRS016569__bin.8,2,1,#fea873,1,1
HMP_2012__SRS022719__bin.13,2,1,#fea873,1,1
CMC038.B.bin.r.123,2,1,#fea873,1,1
HMP_2012__SRS016569__bin.4,2,1,#fea873,1,1
CMC010.B.bin.r.88,2,1,#fea873,1,1
CM_periimplantitis__SP_143SPI_T016__bin.14,2,1,#fea873,1,1
SRS4625245.bin.r.29,2,1,#fea873,1,1
CMC022.B.bin.r.47,2,1,#fea873,1,1
GWHAQJP00000000,2,1,#fea873,1,1
MGYG000298187,2,1,#fea873,1,1
MGYG000298187,2,1,#fea873,1,1
ERS6256719.bin.r.5,2,1,#fea873,1,1
MGYG000298965,2,1,#fea873,1,1
ERS3774419.bin.r.8,2,1,#fea873,1,1
CMC011.B.bin.r.38,2,1,#fea873,1,1
ERS3774402.bin.r.13,2,1,#fea873,1,1
ERSX0002001.bin.r.5,2,1,#fea873,1,1
GWHAQCB00000000,2,1,#fea873,1,1
GWHAQCD00000000,2,1,#fea873,1,1
ERS12516962.bin.r.76,2,1,#fea873,1,1
ERS12516962.bin.r.44,2,1,#fea873,1,1
ERS9656248.bin.r.6,2,1,#fea873,1,1
ERS3774422.bin.r.13,2,1,#fea873,1,1
ERSX0003002.bin.r.19,2,1,#fea873,1,1
GWHAQBW00000000,2,1,#fea873,1,1
GWHAQCA00000000,2,1,#fea873,1,1
ERS6955142.bin.r.19,2,1,#fea873,1,1
SRS3078181.bin.r.7,2,1,#fea873,1,1
ERS11702787.bin.r.10,2,1,#fea873,1,1
ERS6256698.bin.r.3,2,1,#fea873,1,1
ERS3774422.bin.r.11,2,1,#fea873,1,1
ERS6955114.bin.r.10,2,1,#fea873,1,1
ERS6636154.bin.r.11,2,1,#fea873,1,1
GWHAQBY00000000,2,1,#fea873,1,1
GWHAQGX00000000,2,1,#fea873,1,1
GWHARRG00000000,2,1,#fea873,1,1
GWHAQQU00000000,2,1,#fea873,1,1
