Eager_label	Secondary_sample_accession	Other_sample_codes
HPD005.B0101	ERS26854147	ERSX0004057
HPD006.B0101	ERS26854148	ERSX0004058
HPD007.B0101	ERS26854149	ERSX0004059
R31	ERS22873782	ERSX0002001
R32A	ERS22873783	ERSX0002002
R32B	ERS22873784	ERSX0002002
R33	ERS22873785	ERSX0002003
SMH005.A	ERS22873794	ERSX0003001
SMH005.A	ERS22873794	ERSX0003001
SMH007.A	ERS22873795	ERSX0003002
SMH007.A	ERS22873795	ERSX0003002
SMH008.A	ERS22873796	ERSX0003003
SMH008.A	ERS22873796	ERSX0003003
