pr_93	cluster_type	HOMD
1073	H	no
1074	H	no
1075	H	no
1076	H	no
1077	H	no
1078	G	no
1079	H	no
1080	P	no
1081	H	no
1082	H-N	HOMD
1083	H	no
1084	P-G	no
1085	H	no
1086	H	no
1087	H	no
1088	H	no
1089	H	no
1090	H	no
1091	H	no
1092	H	no
1093	H	HOMD
1094	H	no
1095	H	no
1096	H	no
1097	H	no
1098	H	no
1099	H	no
1100	H	HOMD
1101	H	no
1102	H	no
1103	H	no
1104	H	HOMD
1105	H	HOMD
1106	P	no
1107	H	HOMD
1108	U	no
1109	H	no
1110	H	no
1111	P	no
1112	H	HOMD
1113	H	no
1114	H	no
1115	H	no
1116	U	no
1117	H	no
1118	Env	no
1119	Env	no
1120	H	no
1121	H	no
1122	H	no
1123	H	no
1124	H	no
1125	H	HOMD
1126	H	no
1127	H	no
1128	U	no
1129	G	no
1130	H	no
1131	Env	no
1132	U	no
1133	U	no
1134	H	no
1135	H	no
1136	H	no
1137	H	no
1138	H-P	no
1139	H	no
1140	H	no
1141	H-U	HOMD
1142	H	no
1143	U	no
1144	U	no
1145	U	no
1146	H	no
1147	H	HOMD
1148	H	no
1149	H	no
1150	H-A	HOMD
1151	H-P	HOMD
1152	H	HOMD
1153	Env	no
1154	Env	no
1155	U	no
1156	Env	no
1157	R	no
1158	U	no
1159	U	no
1160	U	no
1161	G-U	no
1162	U	no
1163	H	no
1164	H	no
1165	H	no
1166	H	no
1167	H	no
1168	U	no
1169	U	no
1170	H	no
1171	H	no
1172	H	HOMD
1173	A	no
1174	H	no
1175	H	no
1176	H	HOMD
1177	H	no
1178	U	no
1179	A	no
1180	H	HOMD
1181	H	no
1182	H	no
1183	H	no
1184	H	HOMD
1185	A	no
1186	H	no
1187	H	no
1188	H	HOMD
1189	U	no
1190	H	no
1191	H	HOMD
1192	H	HOMD
1193	H	HOMD
1194	H	HOMD
1195	H	no
1196	G	no
1197	H	HOMD
1198	H	HOMD
1199	H	no
1200	H	HOMD
1201	H	HOMD
1202	A	no
1203	H	HOMD
1204	H	HOMD
1205	H	no
1206	H	no
1207	H	no
1208	U	no
1209	H	HOMD
1210	Env	no
1211	U	no
1212	H	no
1213	H-U	no
1214	G	no
1215	H	HOMD
1216	H	HOMD
1217	H	HOMD
1218	H-A	HOMD
1219	G	no
1220	G	no
1221	A	no
1222	H	no
1223	H	no
1224	H	HOMD
1225	H	no
1226	H	no
1227	H	no
1228	H	no
1229	H	no
1230	H	no
1231	H	no
1232	H	no
1233	H	no
1234	H	HOMD
1235	H	HOMD
1236	H	no
1237	H	no
1238	H	no
1239	H	no
1240	H	no
1241	H	HOMD
1242	H	HOMD
1243	H	no
1244	H	no
1245	H	no
1246	H	no
1247	H	no
1248	U	no
1249	H	HOMD
1250	H	no
1251	H	HOMD
1252	H	HOMD
1253	G	no
1254	U	no
1255	Env	no
1256	G-U	no
1257	U	no
1258	G-U	no
1259	Env	no
1260	H	no
1261	H	no
1262	H	no
1263	H	no
1264	H-G	no
1265	H	no
1266	H	no
1267	H	no
1268	H	HOMD
1269	H	no
1270	H	no
1271	H	no
1272	H	no
1273	H	no
1274	H	HOMD
1275	H	no
1276	H	no
1277	H	no
1278	H	no
1279	H	no
1280	H	HOMD
1281	H	HOMD
1282	H	no
1283	H	HOMD
1284	H	HOMD
1285	H	HOMD
1286	H	no
1287	H	no
1288	H	no
1289	H	no
1290	H	HOMD
1291	H	no
1292	H	no
1293	H	HOMD
1294	H	no
1295	H	HOMD
1296	H	no
1297	H	no
1298	H	HOMD
1299	H	no
1300	H	HOMD
1301	H	HOMD
1302	H	no
1303	H	no
1304	H	no
1305	H	no
1306	P	no
1307	H	no
1308	P	no
1309	U	no
1310	H	no
1311	H	no
1312	U	no
1313	H	no
1314	H	HOMD
1315	H	no
1316	H	no
1317	H	no
1318	H	HOMD
1319	H-P	no
1320	H	HOMD
1321	H	no
1322	H	HOMD
1323	H	HOMD
1324	G	no
1325	H	no
1326	H-P-G	no
1327	G	no
1328	H	no
1329	H	no
1330	A	no
1331	H	no
1332	H	HOMD
1333	H-P-G	no
1334	H-Po	no
1335	P	no
1336	H	HOMD
1337	H	no
1338	Env	no
1339	Env	no
1340	H	no
1341	H	no
1342	P	no
1343	Env	no
1344	Env	no
1345	Env	no
1346	Env	no
1347	Env	no
1348	Env	no
1349	A	no
1350	Env	no
1351	H	no
1352	H	no
1353	H	no
1354	Env	no
1355	Env	no
1356	P-G	no
1357	H-N-Po	HOMD
1358	G-U	no
1359	H	HOMD
1360	G	no
1361	H	HOMD
1362	H-P-G	HOMD
1363	Env	no
1364	Env	no
1365	Env	no
1366	Env	no
1367	Env	no
1368	Env	no
1369	Env	no
1370	Env	no
1371	Env	no
1372	Env	no
1373	Env	no
1374	Env	no
1375	Env	no
1376	Env	no
1377	Env	no
1378	Env	no
1379	Env	no
1380	Env	no
1381	Env	no
1382	Env	no
1383	Env	no
1384	Env	no
1385	Env	no
1386	Env	no
1387	Env	no
1388	Env	no
1389	Env	no
1390	Env	no
1391	Env	no
1392	Env	no
1393	Env	no
1394	P	no
1395	Env	no
1396	Env	no
1397	Env	no
1398	Env	no
1399	Env	no
1400	Env	no
1401	Env	no
1402	Env	no
1403	Env	no
1404	Env	no
1405	Env	no
1406	Env	no
1407	H	no
1408	Env	no
1409	Env	no
1410	Env	no
1411	U	no
1412	Env	no
1413	Env	no
1414	Env	no
1415	Env	no
1416	U	no
1417	H	no
1418	H	no
1419	H	no
1420	H	no
1421	Env	no
1422	H	no
1423	Env	no
1424	P-U	no
1425	H-N	no
1426	P	no
1427	H-N-P	HOMD
1428	H-N	no
1429	U	no
1430	U	no
1431	H	no
1432	H	no
1433	G	no
1434	H	no
1435	H	no
1436	H	no
1437	H	no
1438	H	HOMD
1439	Env	no
1440	U	no
1441	H	HOMD
1442	H	no
1443	H	no
1444	H	HOMD
1445	H	no
1446	H	no
1447	H	no
1448	H	no
1449	H	no
1450	H	no
1451	H	no
1452	G	no
1453	P-G	no
1454	H	HOMD
1455	H	HOMD
1456	H	HOMD
1457	H	HOMD
1458	H	no
1459	H-N	no
1460	H	HOMD
1461	H	HOMD
1462	H	no
1463	H-N-P	no
1464	H-N	no
1465	U	no
1466	H-P	HOMD
1467	H	no
1468	H	no
1469	H-N-P-G	HOMD
1470	H	no
1471	H	no
1472	H	HOMD
1473	H	no
1474	H	no
1475	H	no
1476	Env	no
1477	N	no
1478	H	no
1479	Env	no
1480	U	no
1481	G	no
1482	H	HOMD
1483	N	no
1484	A	no
1485	H	no
1486	H	no
1487	H	no
1488	U	no
1489	U	no
1490	H	no
1491	H	no
1492	H-U	HOMD
1493	U	no
1494	U	no
1495	U	no
1496	U	no
1497	U	no
1498	H	no
1499	H-P-G-A	no
1500	H-A	no
1501	U	no
1502	H	no
1503	U	no
1504	A	no
1505	H	no
1506	H-P-A	HOMD
1507	H-U	HOMD
1508	H-U	HOMD
1509	H	HOMD
1510	G	no
1511	G	no
1512	H	no
1513	U	no
1514	Env	no
1515	Env	no
1516	Env	no
1517	N	no
1518	H	no
1519	Po	no
1520	Env	no
1521	U	no
1522	H	no
1523	U	no
1524	U	no
1525	Env	no
1526	H	no
1527	H	no
1528	G	no
1529	U	no
1530	U	no
1531	H	no
1532	U	no
1533	U	no
1534	H	no
1535	H-U	no
1536	U	no
1537	U	no
1538	U	no
1539	G-U	no
1540	U	no
1541	U	no
1542	U	no
1543	U	no
1544	U	no
1545	U	no
1546	G-U	no
1547	H	no
1548	Env	no
1549	Env	no
1550	Env	no
1551	Env	no
1552	Env	no
1553	H	no
1554	Env	no
1555	Env	no
1556	Env	no
1557	Env	no
1558	Env	no
1559	Env	no
1560	Env	no
1561	Env	no
1562	Env	no
1563	Env	no
1564	Env	no
1565	Env	no
1566	Env	no
1567	Env	no
1568	Env	no
1569	Env	no
1570	U	no
1571	Env	no
1572	Env	no
1573	H	no
1574	H	no
1575	P	no
1576	H	no
1577	A	no
1578	H	no
1579	H	no
1580	H	HOMD
1581	H	no
1582	H	no
1583	H	no
1584	H	HOMD
1585	H	HOMD
1586	A	no
1587	A	no
1588	H	no
1589	H	HOMD
1590	G	no
1591	H	HOMD
1592	G	no
1593	G	no
1594	H	no
1595	H	no
1596	H	no
1597	H	no
1598	H	HOMD
1599	H	no
1600	U	no
1601	H	HOMD
1602	H	HOMD
1603	H	HOMD
1604	H-N	no
1605	H	no
1606	H	no
1607	H	no
1608	H	no
1609	H	HOMD
1610	H	no
1611	H	no
1612	H	no
1613	H	no
1614	H	HOMD
1615	H	no
1616	H	HOMD
1617	H	HOMD
1618	H	no
1619	H	no
1620	H	no
1621	H	no
1622	H	no
1623	H	no
1624	H	no
1625	H	no
1626	H	no
1627	H	no
1628	H	no
1629	H	no
1630	H	no
1631	H	HOMD
1632	H	no
