sample_name	Secondary_sample_accession	prepublication_sample_accession	latitude	longitude
TON005.B0101	ERS15409436	ERSX0004107	-21.191	-175.1922
TON006.B0101	ERS15409437	ERSX0004108	-21.191	-175.1922
TON007.B0101	ERS15409438	ERSX0004109	-21.191	-175.1922
R31	ERS22873782	ERSX0002001	52.633	-1.136
R32A	ERS22873783	ERSX0002002	52.633	-1.136
R32B	ERS22873784	ERSX0002002	52.633	-1.136
R33	ERS22873785	ERSX0002003	52.633	-1.136
SMH005.A0101	ERS22873794	ERSX0003001	48.839	9.227
SMH005.A0102	ERS22873794	ERSX0003001	48.839	9.227
SMH007.A0101	ERS22873795	ERSX0003002	48.839	9.227
SMH007.A0102	ERS22873795	ERSX0003002	48.839	9.227
SMH008.A0101	ERS22873796	ERSX0003003	48.839	9.227
SMH008.A0102	ERS22873796	ERSX0003003	48.839	9.227
