Species	CMC001.B.deep.homd_mags	CMC002.B.deep.homd_mags	CMC003.B.deep.homd_mags	CMC004.B.deep.homd_mags	CMC005.B.deep.homd_mags	CMC006.B.deep.homd_mags	CMC007.B.deep.homd_mags	CMC008.B.deep.homd_mags	CMC009.A.deep.homd_mags	CMC009.B.deep.homd_mags	CMC010.B.deep.homd_mags	CMC011.B.deep.homd_mags	CMC012.B.deep.homd_mags	CMC013.B.deep.homd_mags	CMC015.B.deep.homd_mags	CMC016.B.deep.homd_mags	CMC017.B.deep.homd_mags	CMC018.B.deep.homd_mags	CMC020.B.deep.homd_mags	CMC021.B.deep.homd_mags	CMC022.B.deep.homd_mags	CMC023.A.deep.homd_mags	CMC023.B.deep.homd_mags	CMC024.B.deep.homd_mags	CMC025.B.deep.homd_mags	CMC026.B.deep.homd_mags	CMC027.B.deep.homd_mags	CMC028.B.deep.homd_mags	CMC029.B.deep.homd_mags	CMC030.B.deep.homd_mags	CMC031.B.deep.homd_mags	CMC032.B.deep.homd_mags	CMC033.B.deep.homd_mags	CMC034.B.deep.homd_mags	CMC035.B.deep.homd_mags	CMC036.B.deep.homd_mags	CMC037.B.deep.homd_mags	CMC038.A.deep.homd_mags	CMC038.B.deep.homd_mags	CMC039.B.deep.homd_mags	CMC040.B.deep.homd_mags	CMC042.B.deep.homd_mags	CMC043.B.deep.homd_mags	CMC045.B.deep.homd_mags	CMC046.B.deep.homd_mags
Actinomyces pr_cl_3799	538	1683	2611	3644	4841	766	5249	2660	4691	19031	1365	332	934	4305	1031	943	899	101	1331	923	546	902	959	3222	3141	911	4219	91	1958	31	604	3900	80	165	921	1485	476	1478	599	525	4488	1110	570	3432	1179
Actinomyces pr_cl_3782	560	5966	1462	3031	11153	1710	8121	3637	10059	19806	2012	1275	1241	7023	990	789	1058	150	1342	1569	85	1018	1505	5171	3506	610	2212	10	770	62	628	6129	51	68	1134	1601	340	581	45	1939	4493	1024	676	2908	2208
Actinomyces pr_cl_3768	638	520	787	3457	13552062	37033	2722826	368482	5428	2037943	128591	86751	490998	651559	3611403	3643	2448	545	569339	293535	1244	1050	3656669	18960	18509616	5427	1606	2803	47431	1071	17606	116274	5255	2160	921	853436	3984687	433	1144	1640	1411	1634	58904	3075	17826
Actinomyces pr_cl_3831	670	979	347	1368	4601	835	1404	1441	1033	8707	3288	2209	1560	1904	2328	7592	1124	790	2654	3029	1570	1094	500	38207	1358	2891	1728	327	3297	934	889	1480	238	125	1294	654	1317	448	2081	970	846	3559	936	1451	126
Actinomyces pr_cl_3802	689	693	1033	2659	2017	232	5004	1154	3258	7231	538	690	2988	3989	1923	414	2124	209	1419	1873	194	277	1248	3322	1986	680	2280	3225	1509	296	227	923	47	222	910	2708	308	592	175	1927	1472	1256	2854	1327	627
Actinomyces pr_cl_3783	834	5042	1717	3168	12319	2530	3467	3032	7025	12421	4266	39	414	7770	304	1085	1497	104	1112	1148	174	2046	482	4463	3488	442	2783	4	796	87	613	15979	92	75	1735	639	383	831	36	396	1878	1432	1372	2393	257
Actinomyces pr_cl_3769	1205	5067	38962	5513	269141	3423	59047	1361	995710	26111	29502	14963	58398	15246	1358	2981	2448	1413	4672	21706	15088	2451	1975	106584	11982	75612	3674	381	10898	1407	3081	4409	2108	742	388274	1741	492	2226	1659	11563	3907	5044	2380	2097	10194
Actinomyces pr_cl_3804	1363	836	10310	13782	2495	1120	11234	3886	8619	10665	1235	937	2798	13520	4901	1357	4434	144	2218	3898	451	1763	4823	7445	4586	3023	9857	353	3766	234	1007	505	93	604	1223	5408	573	939	383	4036	3024	552	6298	2342	3773
Actinomyces pr_cl_3779	1374	1020	1664	5430	7714	1127	11559	3225	4718	22861	7344	2651	2270	3255	7720	7671	4563	434	3661	13731	3215	1769	18198	4008	11050	2657	9791	5183	8009	698	2823	3321	525	670	2346	2750	66839	1064	2433	3462	2591	15210	12146	10804	1300
Actinomyces pr_cl_3792	1374	3450	65416	10457	17220	2916	23758	14357	13535	121041	2350	214	10163	15617	1437	1300	2329	307	4858	2358	153	1759	2297	5954	7291	1703	24130	115	2384	104	2415	37205	141	621	1922	9225	1505	45492	525	1237	44898	4051	1455	56512	4002
Actinomyces pr_cl_3773	1524	1818	266072	11267	10989	681108	18031	109928	4193	11607	80260	4363	17776	11172	13664	15115	874873	4262	3907	15525	3633356	3990550	17563	1271068	10754	163796	9662	10409	16948	6216	9710	1058	404	462	284744	8527	9984	427235	894067	7266	4715	12641	4975	56186	123713
Actinomyces pr_cl_3817	1671	1970	1965	5074	3933	693	4114	1149	1668	3348	363020	17054	2604	2967	10238	15265	24985	451568	2177	3158	4873	3849	10864	3416465	3269	3143	5181	3989	3866	3742	3011	1086	464	448	97987	3417	3261	702346	764588	1334	1538	4314	1919	3901	1259
Actinomyces pr_cl_3810	1728	557	871	3007	2379	282	10896	1267	3791	4523	1022	1279	1869	9904	2105	1181	4368	184	2222	4373	639	449	3692	7685	3171	830	4500	604	4826	527	5280	810	94	671	2649	4507	711	240	219	4861	1287	690	7175	1880	8038
Actinomyces pr_cl_3794	1829	5558	6224	66661	13423	1648	23531	6484	17605	39649	3419	2294	7543	17084	3045	3413	7549	1677	2527	3749	8960	1021	2657	8635	17906	5459	84777	593	14514	207	2320	22829	537	476	2346	6488	2860	9042	7933	1127	33737	4942	1232	12975	6255
Actinomyces pr_cl_3785	1927	20261	1916210	5770	13946	25078	9840	8125	23996	37702	9389	287	1682	10229	2219	2006	3457	433	2771	3460	3602	1623	2924	175324	5567	1812	4330	855	2570	367	1969	12975	335	589	8135	3923	1384	12385	760	2367	6333	4361	3317	5991	2503
Actinomyces pr_cl_3805	1958	724	3344	31716	17395	737	53227	3869	4216	78108	4414	5711	77943	114040	19726	3711	11755	2306	25990	43786	3074	1980	26588	5282	57317	6921	12323	1491	36628	1498	65311	1583	421	373	3912	9425	1467	435	1448	3184	9557	6078	2035	5122	77535
Actinomyces pr_cl_3800	2314	12289	16554	568857	85624	241988	525625	2469547	245508	3855947	18788	8978	50488	914498	115928	12428	13335	3276	9985	11570	7756	3949	101020	14769	61393	9996	1151658	1596	22699	1247	16113	860693	1683	900	3416	55021	17155	64492	2998	15542	2555915	9511	4553	1603402	215932
Actinomyces pr_cl_3781	2948	73879	15853	42378	23850	22007	73831	8861	134018	91963	38299	7196	125228	269990	29575	6496	12582	37854	41596	52095	11806	9464	26792	104765	67789	6667	14993	2434	53342	3249	57190	8414	1764	685	37285	21354	3731	10888	4951	7864	35681	12793	5310	17657	70925
Actinomyces pr_cl_3788	3620	28991	35442	31610	48849	8091	138716	19420	80731	187966	12796	1310	9708	37370	3816	3733	4795	677	10824	6896	2463	2487	4671	28446	18398	4502	11920	524	8625	725	3420	37154	623	991	9160	14198	2595	12727	1121	3376	12554	8356	8569	41745	32885
Actinomyces pr_cl_3797	4546	12327	748808	28075	23987	4171	36875	9429	25949	74479	11627	5247	7663	31262	18651	16504	204178	2092	7988	15108	1977143	11116	10267	8177298	18653	29824	27431	8938	33277	3362	11968	18652	710	851	215380	17110	5956	3048284	189182	8282	23114	8922	11325	62448	14148
Actinomyces pr_cl_3816	6004	1513	416202	29318	91038	11712	156907	11315	10725	98409	50973	18072	54446	103483	75851	34404	46292	5323	42846	115542	20400	8135	98859	510644	129231	11643	49298	8477	111133	8218	105469	307	1098	2048	17274	47508	40012	13105	34461	25963	26394	19221	21773	46637	72881
Actinomyces pr_cl_3787	9369	86247	55627	41830	433906	19608	1065238	44747	142018	280084	83281	4369	22446	121412	19302	25174	16421	3789	30746	20729	8910	8182	13953	77515	125504	40114	31565	3590	22326	2466	17515	113595	16186	3159	28729	32432	26125	32109	3039	7824	51969	21345	19935	33766	18919
Actinomyces pr_cl_3814	13384	2942	25178	57164	60557	8036	76548	9492	10469	58297	85067	22287	47145	38047	84572	87774	78645	12906	38420	88567	40162	13120	90997	103824	84387	29247	85379	21649	75718	24624	82332	374	2920	4127	35612	25559	69333	26828	230130	21240	12122	61126	34984	36695	23794
Actinomyces pr_cl_3790	15314	19568	27012	40916	113311	30382	237848	152355	93612	1082602	56227	3306	23674	274605	6089	44152	9049	2055	29679	38322	2121	6084	66182	50736	44903	15594	635512	462	31061	645	42097	2532995	794	9274	9878	71071	18231	49454	8252	60757	313877	74946	12998	116585	20616
Actinomyces pr_cl_3806	19636	19368	61647	1817733	714120	12865	2982370	128760	203392	5798908	93273	300035	6104238	8126920	1015142	42410	188033	139235	1638135	2740825	10448	3273	1360493	51856	3579679	114681	445469	3678	2361852	4647	4609462	54141	13131	971	30488	525791	14351	1027	7097	107579	513299	249055	6533	257008	5928851
Actinomyces pr_cl_3793	36743	43034	385939	478561	157635	41811	2306323	292952	842124	6453732	924900	80619	301336	303543	1106524	90427	331197	61730	108738	304303	40722	133566	610628	118442	1013823	391393	403675	18402	131013	15839	359792	46767	25857	3193	432779	45218	19688	58581	37504	142962	2156008	64783	20342	640721	450423
Actinomyces pr_cl_3777	38170	333164	49199	1503735	929165	31889	788953	199231	740241	931925	84867	358691	98617	1107910	228908	1031687	556297	5476	47415	161401	17484	31246	57826	82112	295521	33492	877717	24250	968857	42126	60982	44413	10912	4448	30043	113628	11783	24566	51637	173296	2498272	196763	18586	680956	192845
Actinomyces pr_cl_3813	41678	7799	50576	154003	117378	22170	151416	29178	17918	120674	201273	50082	96753	71883	258954	256492	309300	34779	83708	176404	182352	91664	143480	213089	216622	92099	214853	76452	186830	82163	256653	1097	7477	8796	103846	48480	124760	28012	142556	63111	27084	165630	67812	108014	33813
Actinomyces pr_cl_3795	49807	69487	112697	1428019	1112449	62560	3963727	588265	2562469	2240803	233908	56657	499772	1865496	710274	510447	1162348	57465	2273929	674508	16828	285994	570600	331273	1227782	40050	2516522	19974	10402010	170140	300350	762071	44795	11815	32667	1094748	30409	226129	22854	808965	1840659	243839	15439	1232838	917226
Actinomyces pr_cl_3809	62395	12406	20711	62285	107186	7727	574715	46640	249465	131268	36651	46512	66597	487534	35468	16390	203932	5928	96850	222238	4869	4612	123047	428284	133849	12604	171370	3564	221590	11753	43519	17067	1675	30036	9866	236796	27124	3134	6856	232112	41591	18461	372789	62943	91402
Actinomyces pr_cl_3807	74606	18785	4617	31279	85982	2937	86816	5616	21260	17909	41080	27369	22659	57654	162054	52382	51542	5524	47725	60096	20909	26410	158804	61881	32872	21207	44677	15917	48579	15350	13699	90440	5039	6251	631098	35277	62095	1226	7037	33470	9124	18230	48331	19108	13142
Actinomyces pr_cl_3796	109462	13676	18157	410762	101346	5664	50412	22570	16605	51423	16765	7708	28945	21582	24363	48090	149569	11299	172712	222532	92259	5093	17493	72097	722364	13271	26113	1916	8616	1318	3862	33373	1579	1072	7494	9610	356341	52243	9832	13150	246872	15920	38654	20917	49342
Actinomyces pr_cl_3803	118684	128206	24073555	2033663	338615	309304	1571122	1110869	3397080	2818417	259210	63799	814622	3006650	1887516	177968	495342	10903	318584	342085	27212	2639337	2276141	447692	3160793	444439	1523070	15790	131528	18459	320494	50776	15573	193103	242778	1607839	78285	460326	31961	269909	1331404	86048	84136	780703	1821052
Actinomyces pr_cl_3778	308785	10931890	1363783	967548	3680389	747272	1762432	835072	7964527	3399001	1535755	73941	251673	2626867	198913	2037537	531632	52794	640205	698062	90215	411309	399815	2104176	2228034	494772	589059	19020	380920	42033	389565	6973292	43558	119394	1451956	487368	743915	364448	39600	218413	706182	1139319	1566936	770155	266502
Actinomyces pr_cl_3815	926248	111750	492577	3801928	3652433	382612	5168895	420265	657159	2784694	6596740	1623546	2310866	1009350	4098024	6362545	4485057	905670	2201010	5259178	2635538	894357	7052726	2707910	4361142	1714135	5964653	1278607	3147223	1568309	3200577	14193	229893	329806	2783771	1491980	9671665	207374	1208921	1398432	448473	4109357	3127772	2625338	662532
Actinomyces pr_cl_3812	1174112	216848	120591	3242930	1407624	475682	2022308	800818	385616	3326082	1829771	811896	1775241	1103142	6776319	6533554	7442648	164787	1547405	3216301	3566331	3788697	778371	1773023	5006445	2271051	5349587	1930009	4472820	3536642	10374823	40312	125403	154959	1667938	462363	205136	405067	1058637	1407638	820383	2301177	426196	1734513	322164
Actinomyces pr_cl_3808	1453390	1414894	811615	2928776	229379	203420	2113353	66760	55134	421942	3027619	2242589	1251935	431288	1838805	6585586	3360557	557788	925811	2143902	2201817	640678	6783687	1449120	902965	1657177	3477051	2456605	3178601	1457268	520243	1034659	182931	318246	4079337	819222	387016	13251	244677	657781	309267	1970762	381515	1137802	52356
Actinomyces pr_cl_3776	3001514	60133	148876	4829578	117285	5991199	1814596	2502720	2356306	1624926	8531355	7266920	2657403	1442283	4574378	24315052	11567491	3101216	1992215	5214494	3262801	8116567	6552173	2595870	5272031	2687570	14770025	8066869	5288755	9187740	36559	9316	321476	822416	2800826	718042	30306	69240	259556	466138	15323	6407792	2757304	4081449	168117
UBA2268 pr_cl_2748	0	18	0	100	666	66	0	10	0	1	60	1	0	2	87	0	8383	57627	0	132	432	45808	150	4019	3512	228	0	134	14	19	0	0	0	4	0	244	16	32189	97596	72	4	0	0	0	0
Balneolaceae pr_cl_1752	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0
Salinibacteraceae pr_cl_3544	3	6	0	0	0	2	2	0	2	1	2	2	1	4	0	6	6	0	0	0	2	4	5	4	2	1	4	0	3	4	0	0	0	0	0	0	3	2	0	0	5	2	0	6	1
Chlorobium pr_cl_3190	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	7	0	0	2	11	0	4	0	0	0	4	6	4	0	0	0	0	25	0	0	23	65	0	2	0	0	0	0
Chlorobium pr_cl_3191	23	50	0	10	1	10	0	0	0	2	53	6	2	0	0	13	15	456	0	4	20	839	0	140	75	2	9	332	2	2	0	0	0	2	73	0	0	139	745	4	0	1	0	2	0
Sediminibacterium pr_cl_3902	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Niastella pr_cl_891	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	4	0	0	0	2	0	0	1	0	0	0	0	2	0	2	20	85	0	0	0	0	0	0
Hymenobacter pr_cl_2783	6	9	8	20	10	0	10	2	16	4	0	1	55	0	1822	8	10	4	4	6	4	5	9	8	15	2	4	5	2	5	0	2	0	0	1	2	16	21	36	14	16	16	0	0	221
Empedobacter pr_cl_888	0	5	0	4	0	0	2	0	10	2	0	0	0	0	0	4	0	0	0	4	0	1	1	28	4	0	0	2	0	3	0	0	0	0	3	0	0	2	0	0	0	2	2	0	2
Empedobacter pr_cl_887	0	18	0	0	2	0	0	0	0	0	0	2	0	2	4	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bergeyella pr_cl_901	0	0	5	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
Chryseobacterium pr_cl_894	0	0	0	10	0	0	6	0	5	6	0	0	3	6	0	0	0	0	0	0	2	10	0	0	0	0	4	2	0	0	0	0	0	0	0	2	0	2	3	0	3	1	0	0	0
Chryseobacterium pr_cl_895	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Soonwooa pr_cl_1215	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moheibacter pr_cl_1569	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	6	0	0	0	1	0	0	0
Cloacibacterium pr_cl_885	0	6	4	1	1	0	2	6	0	0	2	0	4	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	10	0	0	0	2
Cloacibacterium pr_cl_884	1	19	4	10	2	0	0	0	0	0	2	0	12	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0
Kaistella pr_cl_896	0	0	0	4	0	0	0	1	0	1	11	2	1	0	110	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	37
Kaistella pr_cl_897	16	33	11	78	8	4	10	7	4	15	0	9	413	0	10244	6	4	19	7	4	0	0	32	5	0	0	6	14	11	28	3	7	0	7	4	10	2	15	22	55	49	60	0	29	1565
Bergeyella_A pr_cl_899	26	24	147	228	64	74	241	85	238	247	779	157	60	90	57	369	497	116	86	137	108	181	66	455	487	38	251	233	104	50	23	43	9	2	44	27	19	703	357	88	281	160	15	150	26
Bergeyella_A pr_cl_898	41	0	2314	1331	37	103	204	20	18	59	116	243	85	36	19	509	307	138	240	327	96	189	16	443	146	127	449	246	36	84	40	44	5	7	242	46	7	557	1632	90	489	116	13	196	34
JABCPE02 pr_cl_900	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	1	0	2	0	2	0	0	0	0	1	2	0	0	3	2	0	3	0	0	0	0
JABCPE02 pr_cl_902	0	0	6	31	0	0	3	0	4	4	4	0	2	0	2	0	6	0	2	1	1	17	1	7	0	0	4	8	0	0	14	0	0	0	0	0	0	12	11	5	14	0	0	10	4
JABCPE02 pr_cl_905	0	0	1	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	0	8	0	0	3	0
JABCPE02 pr_cl_931	0	0	6	14	6	8	11	0	7	6	1	3	0	0	0	14	23	1	3	0	4	172	6	22	0	0	3	13	4	7	0	0	0	0	4	6	0	52	66	4	50	4	0	18	1
JABCPE02 pr_cl_903	1	0	10	7	0	2	5	0	2	6	1	3	0	0	0	0	20	3	0	1	10	3	2	6	0	4	12	6	2	2	0	0	0	0	0	2	3	5	2	3	36	2	1	3	0
JABCPE02 pr_cl_911	2	0	15	29	32	14	10	0	9	7	18	19	7	1	4	8	17	3	4	2	9	29	0	28	81	3	29	15	5	6	0	1	1	1	0	2	2	48	86	38	95	8	0	71	23
JABCPE02 pr_cl_908	2	0	21	9	0	27	2	5	6	1	1	0	0	0	0	10	24	0	0	0	6	5	4	17	0	2	4	4	2	0	4	0	1	0	12	6	0	14	1	2	37	0	2	13	0
JABCPE02 pr_cl_936	3	0	12	37	0	5	10	0	24	10	6	4	4	0	0	4	26	5	8	2	21	17	5	22	1	2	11	15	6	5	9	7	0	2	8	9	1	94	24	4	89	1	2	38	3
JABCPE02 pr_cl_930	3	4	40	55	0	6	14	2	14	9	15	16	0	0	3	41	45	12	5	33	22	33	5	39	4	1	25	75	3	5	14	2	0	0	4	2	0	40	14	15	86	7	0	38	11
JABCPE02 pr_cl_909	4	0	11	14	0	11	5	0	8	8	6	6	2	0	3	7	8	0	6	2	7	15	0	10	1	0	5	4	8	5	1	0	2	1	2	4	0	25	72	4	49	2	2	27	2
JABCPE02 pr_cl_907	6	0	34	38	0	8	26	5	18	5	9	8	3	0	0	4	22	2	5	4	15	34	2	22	4	0	9	30	5	0	7	3	1	2	9	20	2	446	5047	4	110	2	0	43	13
JABCPE02 pr_cl_920	7	0	58	113	0	22	45	9	17	19	29	7	7	1	0	35	28	8	2	1	38	44	6	53	3	2	23	36	19	3	3	13	0	0	13	7	0	124	23	20	161	3	2	61	9
JABCPE02 pr_cl_932	7	2	29	118	0	14	42	7	16	18	7	1	6	1	4	5	50	5	15	12	7	33	14	20	4	0	21	30	14	9	11	1	3	2	11	1	0	25	17	20	138	7	1	46	19
JABCPE02 pr_cl_935	7	3	24	49	0	6	12	3	8	11	4	11	4	0	11	22	20	6	3	4	122	21	1	20	0	0	13	16	15	4	18	3	0	0	3	0	0	35	11	11	76	2	1	24	5
JABCPE02 pr_cl_928	7	3	59	65	2	12	45	7	25	13	6	11	4	4	2	6	35	6	1	3	14	43	3	30	2	1	19	32	7	8	6	1	0	0	12	11	0	185	20	4	124	7	0	54	11
JABCPE02 pr_cl_910	7	0	20	52	0	4	4	6	18	12	8	3	0	0	2	1	35	2	1	1	10	24	2	9	0	0	7	21	5	2	20	3	0	1	6	5	0	76	109	5	93	3	0	22	6
JABCPE02 pr_cl_904	7	6	6	53	1	6	38	1	9	10	8	45	1	0	0	27	79	120	15	10	19	120	1	88	14	0	61	10	3	21	0	5	3	4	10	15	3	62	72	5	21	2	3	24	4
JABCPE02 pr_cl_933	8	0	29	51	0	11	12	2	27	9	10	9	0	12	0	6	16	3	3	10	17	31	7	24	16	0	14	42	8	2	6	2	0	0	5	5	0	80	19	7	90	5	0	31	1
JABCPE02 pr_cl_926	9	0	34	91	0	20	39	15	8	10	10	0	20	3	0	1	16	4	9	0	9	26	0	15	6	5	46	19	6	3	24	22	0	0	5	3	1	46	20	2	80	2	1	36	7
JABCPE02 pr_cl_934	11	0	43	67	0	18	17	2	20	14	14	13	2	0	0	2	17	1	7	5	27	48	1	41	0	2	24	36	5	8	3	2	1	3	20	3	0	80	12	12	154	0	0	65	9
JABCPE02 pr_cl_929	12	2	83	109	2	36	82	13	41	43	33	17	8	2	8	11	89	1	15	27	58	115	9	54	12	12	59	218	20	9	12	12	1	0	27	12	0	216	67	33	287	0	8	141	15
JABCPE02 pr_cl_913	19	1	127	108	0	74	35	13	21091	755	23	19	8	0	5	9	89	16	25	8	28	115	7	97	1	2	65	82	32	13	13	3	2	0	17	9	0	195	22	23	281	152	3	126	23
JABCPE02 pr_cl_922	19	0	27	360	31	25	254	12	99	48	312	23	98	9	1	14	279	54	51	440	115	80	99	59	56	28	501	19	1082	337	113	144	4	41	17	30	8	75	53	37	128	281	19	353	3
JABCPE02 pr_cl_944	21	0	28	102	0	27	26	1	11	36	23	36	7	1	0	18	109	78	29	10	33	55	7	68	5	6	48	45	26	18	14	0	1	3	34	2	0	92	55	24	256	8	1	59	22
JABCPE02 pr_cl_917	21	4	92	153	6	32	54	18	72	68	19	53	37	5	13	40	93	23	36	70	61	194	1	91	30	13	130	94	29	6	30	26	3	4	33	43	6	594	41	35	331	48	16	147	25
JABCPE02 pr_cl_927	21	0	17	83	1	20	37	3	39	40	36	64	8	0	2	34	103	0	18	14	37	70	2	45	0	1	83	66	18	43	21	0	2	0	7	8	0	129	24	2	166	4	4	92	17
JABCPE02 pr_cl_919	26	9	134	130	1	15	62	8	156	15	15	65	13	0	10	139	346	73	33	13	396	156	5	76	6	4	214	1528	17	29	22	3	11	1	81	15	9	232	210	23	452	24	9	289	15
JABCPE02 pr_cl_916	28	1	68	235	0	219	191	71	93	142	42	57	30	3	10	1334	138	38	38	16	73	298	15	114	6	7	70	100	48	14	19	47	29	0	36	13	3	308	27	43	5753	9	8	133	32
JABCPE02 pr_cl_914	33	0	141	216	0	51	101	22	92	41	50	15	18	3	8	15	132	8	43	18	78	131	9	176	11	6	97	187	22	21	27	12	1	2	34	54	0	357	53	36	399	13	1	194	77
JABCPE02 pr_cl_941	34	0	96	215	0	52	129	8	36	79	69	26	26	0	12	36	212	18	62	16	48	183	32	102	20	11	156	73	61	50	65	2	9	7	85	4	0	172	54	77	746	13	2	189	55
JABCPE02 pr_cl_918	37	15	167	277	8	116	136	39	361	121	61	75	37	24	77	28	107	14	38	25	74	121	17	147	83	5	100	461	80	36	37	7	11	16	46	58	3	416	183	48	428	21	18	190	45
JABCPE02 pr_cl_915	39	0	51	231	1	41	156	23	36	50	45	6	10	4	16	11	101	7	28	26	89	112	19	59	6	6	95	94	34	24	18	14	2	3	27	26	0	271	17	23	299	11	10	142	21
JABCPE02 pr_cl_921	40	2	138	222	48	51	96	26	73	54	41	22	31	3	21	81	93	16	41	14	49	97	22	102	168	15	54	89	41	13	22	14	8	6	18	15	9	242	56	20	323	18	1	106	23
JABCPE02 pr_cl_943	43	0	76	352	8	60	195	10	40	71	132	42	40	8	24	36	328	15	67	27	39	162	39	128	54	10	287	101	78	51	58	3	6	7	60	19	0	130	43	155	742	17	15	181	46
JABCPE02 pr_cl_912	56	12	128	275	231	60	216	32	106	337	111	85	25	20	36	114	392	21	63	48	131	283	29	161	114	15	226	432	69	42	25	20	1	14	82	33	7	291	173	50	563	31	12	415	39
JABCPE02 pr_cl_945	58	12	15	212	20	33	60	14	39	1098	102	92	69	36	15	2348	228	334	201	197	173	133	10	78	41	43	188	327	57	88	808	3	7	37	12	6	15	83	69	14	148	361	41	81	127
JABCPE02 pr_cl_923	66	30	139	264	139	84	62	30	75	57	31	93	29	17	12	152	135	94	8	81	175	181	35	204	65	16	69	157	49	30	42	37	5	0	62	9	4	277	83	47	486	23	46	182	33
JABCPE02 pr_cl_938	81	5	121	530	0	77	300	30	50	142	133	37	50	5	15	83	456	40	89	52	51	278	70	140	65	22	270	170	143	96	134	7	13	17	145	10	0	294	41	130	8896	29	9	374	2100
JABCPE02 pr_cl_942	90	0	131	353	0	121	163	18	42	107	115	36	20	1	11	52	280	42	76	34	58	214	31	127	34	8	195	147	122	66	126	11	5	7	116	14	1	278	40	98	1103	34	10	253	64
JABCPE02 pr_cl_924	134	10	1628	928	356	172	598	124	334	468	302	164	183	429	302	507	547	78	347	687	218	593	185	464	849	70	400	1139	223	133	717	158	32	28	108	131	29	574	151	313	1026	402	370	1110	145
JABCPE02 pr_cl_925	158	26	1021	1214	28	582	475	112	566	294	394	315	123	13	41	187	636	108	172	133	466	883	73	799	52	38	465	731	358	88	181	62	15	32	308	73	8	5089	617	235	3069	79	19	1519	450
JABCPE02 pr_cl_939	312	4	503	1715	2	400	474	96	140	324	369	298	102	3	38	362	1377	324	301	116	360	1166	102	392	272	37	570	475	326	247	466	29	45	52	644	87	6	1301	465	457	3655	103	30	1231	377
JABCPE02 pr_cl_940	336	7	607	1505	10	267	764	92	159	362	331	206	167	22	87	409	1281	189	377	205	353	982	97	612	121	57	805	487	297	273	345	785	22	35	365	50	5	1049	325	446	4996	110	28	953	314
JABCPE02 pr_cl_906	344	74	2860	1730	35	1092	606	227	603	645	669	229	381	46	87	539	1637	276	444	305	735	963	98	1300	319	60	816	873	362	170	260	112	39	49	597	154	14	2402	1138	386	4203	141	181	1502	361
JABCPE02 pr_cl_937	4661	88	779	4946	5	1890	2383	312	321	1180	1871	297	426	45	267	2094	15595	446	4007	457	465	2175	719	1324	292	148	2781	1780	2006	7085	1214	144	73	107	1052	533	46	1775	381	8532	9197	534	128	5866	689
Flavobacterium pr_cl_890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	6	0	0	0	0
Flavobacterium pr_cl_889	0	0	0	0	0	0	0	0	4	2	0	2	0	0	0	0	0	0	6	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0
Flavobacterium pr_cl_886	1	18	3	3	0	0	0	0	6	6	3	3	0	0	0	6	4	7	0	2	2	4	0	23	2	0	6	0	6	2	1	0	0	0	1	0	0	9	26	1	0	2	0	0	0
Capnocytophaga pr_cl_952	0	2	0	5	0	7	18	9	2	14	0	2	2	0	3	0	5	1	1	12	2	12	0	4	5	0	9	14	1	0	0	0	2	1	0	6	0	35	29	1	10	0	2	8	4
Capnocytophaga pr_cl_993	5	0	51	101	0	92	55	28	61	63	104	157	19	5	11	181	112	31	14	18	88	129	6	48	12	4	111	36	66	12	10	12	3	8	1	6	0	43	97	8	139	9	7	38	21
