Species	CMC001.B.deep.homd_mags	CMC002.B.deep.homd_mags	CMC003.B.deep.homd_mags	CMC004.B.deep.homd_mags	CMC005.B.deep.homd_mags	CMC006.B.deep.homd_mags	CMC007.B.deep.homd_mags	CMC008.B.deep.homd_mags	CMC009.A.deep.homd_mags	CMC009.B.deep.homd_mags	CMC010.B.deep.homd_mags	CMC011.B.deep.homd_mags	CMC012.B.deep.homd_mags	CMC013.B.deep.homd_mags	CMC015.B.deep.homd_mags	CMC016.B.deep.homd_mags	CMC017.B.deep.homd_mags	CMC018.B.deep.homd_mags	CMC020.B.deep.homd_mags	CMC021.B.deep.homd_mags	CMC022.B.deep.homd_mags	CMC023.A.deep.homd_mags	CMC023.B.deep.homd_mags	CMC024.B.deep.homd_mags	CMC025.B.deep.homd_mags	CMC026.B.deep.homd_mags	CMC027.B.deep.homd_mags	CMC028.B.deep.homd_mags	CMC029.B.deep.homd_mags	CMC030.B.deep.homd_mags	CMC031.B.deep.homd_mags	CMC032.B.deep.homd_mags	CMC033.B.deep.homd_mags	CMC034.B.deep.homd_mags	CMC035.B.deep.homd_mags	CMC036.B.deep.homd_mags	CMC037.B.deep.homd_mags	CMC038.A.deep.homd_mags	CMC038.B.deep.homd_mags	CMC039.B.deep.homd_mags	CMC040.B.deep.homd_mags	CMC042.B.deep.homd_mags	CMC043.B.deep.homd_mags	CMC045.B.deep.homd_mags	CMC046.B.deep.homd_mags
Treponema_D pr_cl_1023	19215	5510	42	94931	755	211	252	29	96	98	3055	1060	5996	332	962	7793	1790	4571	6324	8373	469	18990	11466	3270	1936	836	20283	114	753	182	2	1	65	180	124	950	458	67127	162530	324	18338	876	3	634	81
Treponema_D pr_cl_1047	23764	306	316	302274	16088	8288	361519	4311	6027	31163	46430	125277	81791	3818	74008	374226	87120	43069	95747	318948	58488	70862	203706	66528	140949	5087	97811	23521	139920	47071	50418	135	22002	17008	21409	23675	568	20570	108984	9593	42211	122481	9335	93999	82679
Treponema_D pr_cl_1031	41990	2005	438	367753	10847	787	1451	487	34597	6251	45272	27801	28537	994	5435	130978	68843	32235	22251	19087	8193	95174	13387	19947	20008	1372	61359	1572	1158	1427	2069	2	2008	544	1508	2892	264	78490	51050	3365	55105	11324	388	29059	1303
Treponema_D pr_cl_1043	106522	217	176	681797	8443	6567	51449	2195	32375	96607	200189	94992	98457	50933	61346	483176	357191	26654	216056	209319	37617	43556	83296	26044	81855	4984	495455	10119	259926	147441	308999	58	23569	26341	9735	30360	15745	9595	56658	25369	10063	398805	51964	288223	44047
Fusobacterium_C pr_cl_1808	2	0	2	16	11	11	10	5	0	8	7	9	2	0	3	5	12	2	0	5	23	12	6	9	13	0	19	3	12	6	0	0	0	0	0	2	6	8	22	0	11	0	0	11	2
Fusobacterium_C pr_cl_1809	29	11	28	149	21	64	203	21	23	36	217	274	96	8	11	306	123	230	52	155	1083	1177	61	1589	156	141	126	129	17	31	0	0	3	10	643	19	5	390	1416	23	85	16	3	97	11
Fusobacterium pr_cl_1713	0	3	11	8	3	11	3	10	4	3	18	14	15	6	2	1	16	11	12	0	27	2	0	18	21	1	66	28	16	0	13	2	1	2	5	5	0	5	68	7	118	1	2	28	3
Fusobacterium pr_cl_1673	0	6	42	17	1	5	1	0	11	0	8	14	0	0	15	0	17	2	6	16	67	4	5	20	7	1	15	58	5	0	0	9	1	0	0	3	0	29	68	25	39	7	2	29	3
Fusobacterium pr_cl_1655	0	0	3	18	0	0	0	2	7	8	4	23	5	0	0	6	13	5	7	2	12	19	1	10	17	1	10	4	19	7	0	0	4	0	2	0	0	22	30	4	23	9	0	16	3
Fusobacterium pr_cl_1693	0	0	16	11	0	3	0	2	1	0	3	21	3	2	2	13	8	7	5	9	11	2	0	6	0	0	15	9	7	0	0	0	2	4	0	3	0	6	21	14	40	6	0	22	4
Fusobacterium pr_cl_1669	0	1	7	7	11	3	25	20	76	4	19	9	5	4	0	10	23	2	4	9	28	13	6	6	1	6	103	13	4	0	0	11	4	0	7	0	0	29	63	3	34	4	0	18	0
Fusobacterium pr_cl_1687	0	0	7	61	7	8	34	4	4	16	21	10	3	2	8	30	20	7	12	14	7	17	8	9	18	4	12	39	12	4	0	0	1	0	4	7	2	3	46	10	75	15	0	27	11
Fusobacterium pr_cl_1685	0	0	26	42	4	3	20	0	5	3	40	17	11	1	8	31	3	53	5	11	41	9	6	17	17	0	6	19	13	0	0	1	1	0	0	6	0	7	39	11	71	3	0	36	1
Fusobacterium pr_cl_1699	0	0	0	4	0	0	1	0	0	0	1	12	1	2	1	1	5	0	2	0	2	0	0	5	11	0	5	0	1	0	0	0	0	0	0	0	1	0	8	0	1	1	0	0	0
Fusobacterium pr_cl_1680	1	0	11	58	0	6	21	4	2	10	13	6	1	1	2	9	1	1	3	16	9	7	2	0	36	0	10	24	9	3	0	0	2	0	0	0	0	2	8	1	10	2	0	29	7
Fusobacterium pr_cl_1710	1	0	5	28	18	9	63	25	38	26	36	27	18	14	13	23	48	4	55	42	18	36	23	18	352	1	43	14	102	0	0	3	1	0	0	5	9	17	45	7	38	46	45	187	5
