Bin	Base	mean_damage	Study	primary_cluster	SampleID	library_treatment	library_polymerase
ERS3774460.bin.r.1	5	0.110686486486486	FellowsYates2021	1187	ERS3774460	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	0	0.527704861111111	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	0	0.527704861111111	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	1	0.379289930555556	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	1	0.379289930555556	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	2	0.247868055555556	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	2	0.247868055555556	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	3	0.178942708333333	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	3	0.178942708333333	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	4	0.138751736111111	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	4	0.138751736111111	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	5	0.11084375	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774463.bin.r.1	5	0.11084375	FellowsYates2021	1187	ERS3774463	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	0	0.287416901408451	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	0	0.287416901408451	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	1	0.172845070422535	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	1	0.172845070422535	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	2	0.0967915492957746	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	2	0.0967915492957746	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	3	0.0720281690140845	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	3	0.0720281690140845	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	4	0.0583492957746479	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	4	0.0583492957746479	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	5	0.0494450704225352	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774464.bin.r.12	5	0.0494450704225352	FellowsYates2021	1187	ERS3774464	Mixed	PfuTurbo Cx Hotstart DNA
